Id in EU,id,Id di Riccardo,In zotero,EU selection,Title of the scientific publication,abstract,doi link,DOI,Year of publication,Type of scientific publication,Issue,Ack,Open access,Open Access Fee,Fee corrisposta da,container,Publisher,Authors,ISSN or eSSN,Title of the journal or equivalent,"Number, date",Place of publication,Relevant pages,Joint Public / Private publication,Peer-review,Research line
91,110,BRF2022,TRUE,TRUE,Explaining Black Box with Visual Exploration of Latent Space,"Autoencoders are a powerful yet opaque feature reduction technique, on top of which we propose a novel way for the joint visual exploration of both latent and real space. By interactively exploiting the mapping between latent and real features, it is possible to unveil the meaning of latent features while providing deeper insight into the original variables. To achieve this goal, we exploit and re-adapt existing approaches from eXplainable Artificial Intelligence (XAI) to understand the relationships between the input and latent features. The uncovered relationships between input features and latent ones allow the user to understand the data structure concerning external variables such as the predictions of a classification model. We developed an interactive framework that visually explores the latent space and allows the user to understand the relationships of the input features with model prediction.",https://doi.org/10.2312/evs.20221098,10.2312/evs.20221098,2022,Publication in Conference proceedings/Workshop,"ack ok, OA ok",TRUE,Gold,0,,https://doi.org/10.2312/evs.20221098,,"Bodria, Francesco; Rinzivillo, Salvatore; Fadda, Daniele; Guidotti, Riccardo; Giannotti, Fosca; Pedreschi, Dino",,nan,10,,,,Yes,"1,3"
92,111,SBB2025,TRUE,FALSE,The explanation dialogues: an expert focus study to understand requirements towards explanations within the GDPR,"Explainable AI (XAI) provides methods to understand non-interpretable machine learning models. However, we have little knowledge about what legal experts expect from these explanations, including their legal compliance with, and value against European Union legislation. To close this gap, we present the Explanation Dialogues, an expert focus study to uncover the expectations, reasoning, and understanding of legal experts and practitioners towards XAI, with a specific focus on the European General Data Protection Regulation. The study consists of an online questionnaire and follow-up interviews, and is centered around a use-case in the credit domain. We extract both a set of hierarchical and interconnected codes using grounded theory, and present the standpoints of the participating experts towards XAI. We find that the presented explanations are hard to understand and lack information, and discuss issues that can arise from the different interests of the data controller and subject. Finally, we present a set of recommendations for developers of XAI methods, and indications of legal areas of discussion. Among others, recommendations address the presentation, choice, and content of an explanation, technical risks as well as the end-user, while we provide legal pointers to the contestability of explanations, transparency thresholds, intellectual property rights as well as the relationship between involved parties.",https://doi.org/10.1007/s10506-024-09430-w,10.1007/s10506-024-09430-w,2025,Article in journal,"ack ok, no OA",TRUE,Green,0,,https://doi.org/10.1007/s10506-024-09430-w,Springer,"Laura State, Alejandra Bringas Colmenarejo, Andrea Beretta, Salvatore Ruggieri, Franco Turini, Stephanie Law","0924-8463, 1572-8382",Artificial Intelligence and Law,2025-06-26,,,,,4
93,112,TDP2025,TRUE,FALSE,Ensemble Counterfactual Explanations for Churn Analysis,"Counterfactual explanations play a crucial role in interpreting and understanding the decision-making process of complex machine learning models, offering insights into why a particular prediction was made and how it could be altered. However, individual counterfactual explanations generated by different methods may vary significantly in terms of their quality, diversity, and coherence to the black-box prediction. This is especially important in financial applications such as churn analysis, where customer retention officers could explore different approaches and solutions with the clients to prevent churning. The officer’s capability to modify and explore different explanations is pivotal to his ability to provide feasible solutions. To address this challenge, we propose an evaluation framework through the implementation of an ensemble approach that combines state-of-the-art counterfactual generation methods and a linear combination score of desired properties to select the most appropriate explanation. We conduct our experiments on three publicly available churn datasets in different domains. Our experimental results demonstrate that the ensemble of counterfactual explanations provides more diverse and comprehensive insights into model behavior compared to individual methods alone that suffer from specific weaknesses. By aggregating, evaluating, and selecting multiple explanations, our approach enhances the diversity of the explanation, highlights common patterns, and mitigates the limitations of any single method, offering to the user the ability to tweak the explanation properties to their needs.",https://hdl.handle.net/11384/147064,10.1007/978-3-031-78980-9_21,2025,Chapter in a Book,"ack ok, no OA",TRUE,NO,0,,https://doi.org/10.1007/978-3-031-78980-9_21,Springer Nature Switzerland,"Samuele Tonati, Marzio Di Vece, Roberto Pellungrini, Fosca Giannotti",,"Lecture Notes in Computer Science, Discovery Science",01/01/2025,,332-347,,Yes,1
94,113,RMM2025,TRUE,FALSE,Explainable AI in Time-Sensitive Scenarios: Prefetched Offline Explanation Model,"As predictive machine learning models become increasingly adopted and advanced, their role has evolved from merely predicting outcomes to actively shaping them. This evolution has underscored the importance of Trustworthy AI, highlighting the necessity to extend our focus beyond mere accuracy and toward a comprehensive understanding of these models’ behaviors within the specific contexts of their applications. To further progress in explainability, we introduce poem, Prefetched Offline Explanation Model, a model-agnostic, local explainability algorithm for image data. The algorithm generates exemplars, counterexemplars and saliency maps to provide quick and effective explanations suitable for time-sensitive scenarios. Leveraging an existing local algorithm, poem infers factual and counterfactual rules from data to create illustrative examples and opposite scenarios with an enhanced stability by design. A novel mechanism then matches incoming test points with an explanation base and produces diverse exemplars, informative saliency maps and believable counterexemplars. Experimental results indicate that poem outperforms its predecessor abele in speed and ability to generate more nuanced and varied exemplars alongside more insightful saliency maps and valuable counterexemplars.",https://doi.org/10.1007/978-3-031-78980-9_11,10.1007/978-3-031-78980-9_11,2025,Chapter in a Book,"ack ok, no OA",TRUE,NO,,,http://arxiv.org/abs/2503.04283,,"Fabio Michele Russo, Carlo Metta, Anna Monreale, Salvatore Rinzivillo, Fabio Pinelli",,"Lecture Notes in Computer Science, Discovery Science",nan,,,,Yes,1
95,114,FPT2024,TRUE,TRUE,The ALTAI checklist as a tool to assess ethical and legal implications for a trustworthy AI development in education,"The rapid proliferation of Artificial Intelligence (AI) applications in various domains of our lives has prompted a need for a shift towards a human-centered and trustworthy approach to AI. In this study we employ the Assessment List for Trustworthy Artificial Intelligence (ALTAI) checklist to evaluate the trustworthiness of Artificial Intelligence for Student Performance Prediction (AI4SPP), an AI-powered system designed to detect students at risk of school failure. We strongly support the ethical and legal development of AI and propose an implementation design where the user can choose to have access to each level of a three-tier outcome bundle: the AI prediction alone, the prediction along with its confidence level, and, lastly, local explanations for each grade prediction together with the previous two information. AI4SPP aims to raise awareness among educators and students regarding the factors contributing to low school performance, thereby facilitating the implementation of interventions not only to help students, but also to address biases within the school community. However, we also emphasize the ethical and legal concerns that could arise from a misuse of the AI4SPP tool. First of all, the collection and analysis of data, which is essential for the development of AI models, may lead to breaches of privacy, thus causing particularly adverse consequences in the case of vulnerable individuals. Furthermore, the system’s predictions may be influenced by unacceptable discrimination based on gender, ethnicity, or socio-economic background, leading to unfair actions. The ALTAI checklist serves as a valuable self-assessment tool during the design phase of AI systems, by means of which commonly overlooked weaknesses can be highlighted and addressed. In addition, the same checklist plays a crucial role throughout the AI system life cycle. Continuous monitoring of sensitive features within the dataset, alongside survey assessments to gauge users’ responses to the systems, is essential for gathering insights and intervening accordingly. We argue that adopting a critical approach to AI development is essential for societal progress, believing that it can evolve and accelerate over time without impeding openness to new technologies. By aligning with ethical principles and legal requirements, AI systems can make significant contributions to education while mitigating potential risks and ensuring a fair and inclusive learning environment.",https://doi.org/10.1016/j.clsr.2024.105986,10.1016/j.clsr.2024.105986,2024,Article in Journal,"ack ok, OA ok",TRUE,Gold,0,,https://doi.org/10.1016/j.clsr.2024.105986,,"Andrea Fedele, Clara Punzi, Stefano Tramacere",,Computer Law &amp; Security Review,53,,,,Yes,5
96,115,BCM2022,TRUE,TRUE,User-driven counterfactual generator: a human centered exploration,"In this paper, we critically examine the limitations of the techno-solutionist approach to explanations in the context of counterfactual generation, reaffirming interactivity as a core value in the explanation interface between the model and the user.",https://ceur-ws.org/Vol-3554/paper15.pdf,,2022,Publication in Conference proceedings/Workshop,"ack ok, OA ok",TRUE,Gold,0,,https://publications.cnr.it/doc/489902,,Beretta I; Cappuccio E; Marchiori Manerba M,,"xAI-2023 - 1st World Conference on eXplainable Artificial, pp. 83–88, Lisbon, Portugal, 26-28/07/2023",1,,,,Yes,"1,3"
97,116,F2023,TRUE,TRUE,Explain and interpret few-shot learning,"Recent advancements in Artificial Intelligence have been fueled by vast datasets, powerful computing resources, and sophisticated algorithms. However, traditional Machine Learning models face limitations in handling scarce data. Few-Shot Learning (FSL) offers a promising solution by training models on a small number of examples per class. This manuscript introduces FXI-FSL, a framework for eXplainability and Interpretability in FSL, which aims to develop post-hoc explainability algorithms and interpretableby-design alternatives. A noteworthy contribution is the SIamese Network EXplainer (SINEX), a post-hoc approach shedding light on Siamese Network behavior. The proposed framework seeks to unveil the rationale behind FSL models, instilling trust in their real-world applications. Moreover, it emerges as a safeguard for developers, facilitating models fine-tuning prior to deployment, and as a guide for end users navigating the decisions of these models.",https://ceur-ws.org/Vol-3554/paper38.pdf,,2023,Publication in Conference proceedings/Workshop,"ack ok, OA ok",TRUE,Gold,0,,http://www.cnr.it/prodotto/i/490202,,Fedele A.,,"xAI-2023 - 1st World Conference on eXplainable Artificial, pp. 233–240, Lisbon, Portugal, 26-28/06/2023",Vol. 3554,,,,No,1
98,117,CBM2022,TRUE,FALSE,How routing strategies impact urban emissions,"Navigation apps use routing algorithms to suggest the best path to reach a user's desired destination. Although undoubtedly useful, navigation apps' impact on the urban environment (e.g., CO2 emissions and pollution) is still largely unclear. In this work, we design a simulation framework to assess the impact of routing algorithms on carbon dioxide emissions within an urban environment. Using APIs from TomTom and OpenStreetMap, we find that settings in which either all vehicles or none of them follow a navigation app's suggestion lead to the worst impact in terms of CO2 emissions. In contrast, when just a portion (around half) of vehicles follow these suggestions, and some degree of randomness is added to the remaining vehicles' paths, we observe a reduction in the overall CO2 emissions over the road network. Our work is a first step towards designing next-generation routing principles that may increase urban well-being while satisfying individual needs.",https://doi.org/10.1145/3557915.3560977,10.1145/3557915.3560977,2022,Publication in Conference proceedings/Workshop,"ack ok, no OA",TRUE,NO,,,http://arxiv.org/abs/2207.01456,,"Giuliano Cornacchia, Matteo Böhm, Giovanni Mauro, Mirco Nanni, Dino Pedreschi, Luca Pappalardo",,Proceedings of the 30th International Conference on Advances in Geographic Information Systems,"SIGSPATIAL ’22 — November 1–4, 2022, Seattle, WA, USA",,,,Yes,5
99,118,CGG2021,TRUE,TRUE,Boosting Synthetic Data Generation with Effective Nonlinear Causal Discovery,"Synthetic data generation has been widely adopted in software testing, data privacy, imbalanced learning, artificial intelligence explanation, etc. In all such contexts, it is important to generate plausible data samples. A common assumption of approaches widely used for data generation is the independence of the features. However, typically, the variables of a dataset de-pend on one another, and these dependencies are not considered in data generation leading to the creation of implausible records. The main problem is that dependencies among variables are typically unknown. In this paper, we design a synthetic dataset generator for tabular data that is able to discover nonlinear causalities among the variables and use them at generation time. State-of-the-art methods for nonlinear causal discovery are typically inefficient. We boost them by restricting the causal discovery among the features appearing in the frequent patterns efficiently retrieved by a pattern mining algorithm. To validate our proposal, we design a framework for generating synthetic datasets with known causalities. Wide experimentation on many synthetic datasets and real datasets with known causalities shows the effectiveness of the proposed method.",https://doi.org/10.1109/cogmi52975.2021.00016,10.1109/cogmi52975.2021.00016,2021,Publication in Conference proceedings/Workshop,"ack ok, no OA",TRUE,NO,,,http://www.cnr.it/prodotto/i/468813,,"Martina Cinquini, Fosca Giannotti, Riccardo Guidotti",,2021 IEEE Third International Conference on Cognitive Machine Intelligence (CogMI),"CogMI 2021 — December 13–16, 2021, Virtual Conference",,,,Yes,2
100,121,MPG2025,TRUE,TRUE,Perspectives in Play: A Multi-Perspective Approach for More Inclusive NLP Systems,"In the realm of Natural Language Processing (NLP), common approaches for handling human disagreement consist of aggregating annotators' viewpoints to establish a single ground truth. However, prior studies show that disregarding individual opinions can lead to the side-effect of under-representing minority perspectives, especially in subjective tasks, where annotators may systematically disagree because of their preferences. Recognizing that labels reflect the diverse backgrounds, life experiences, and values of individuals, this study proposes a new multi-perspective approach using soft labels to encourage the development of the next generation of perspective-aware models—more inclusive and pluralistic. We conduct an extensive analysis across diverse subjective text classification tasks including hate speech, irony, abusive language, and stance detection, to highlight the importance of capturing human disagreements, often overlooked by traditional aggregation methods. Results show that the multi-perspective approach not only better approximates human label distributions, as measured by Jensen-Shannon Divergence (JSD), but also achieves superior classification performance (higher F1-scores), outperforming traditional approaches. However, our approach exhibits lower confidence in tasks like irony and stance detection, likely due to the inherent subjectivity present in the texts. Lastly, leveraging Explainable AI (XAI), we explore model uncertainty and uncover meaningful insights into model predictions. All implementation details are available at our github repo.",https://doi.org/10.24963/ijcai.2025/1092,10.24963/ijcai.2025/1092,2025,Publication in conference,"ack ok, OA ok",TRUE,Gold,0,,,International Joint Conferences on Artificial Intelligence Organization,"Benedetta Muscato, Lucia Passaro, Gizem Gezici, Fosca Giannotti",,Proceedings of the Thirty-Fourth International Joint Conference on Artificial Intelligence,,,9827--983,,,"4,5"
101,122,MDP2025,TRUE,TRUE,Towards building a Trustworthy RAG-based Chatbot for the Italian Public Administration,"Building a Trustworthy Retrieval-Augmented Generation (RAG) chatbot for Italy’s public sector presents challenges that go beyond selecting an appropriate Large Language Model. A major issue is the retrieval phase, where Italian text embedders often underperform compared to English and multilingual counterparts, hindering precise identification and contextualization of critical information. Regulatory constraints further complicate matters by disallowing closed source or cloud based models, forcing reliance on on-premise or fully open source solutions that may not fully address the linguistic complexities of Italian documents. In our study, we evaluate three embedding approaches using a publicly available Italian dataset: a monolingual Italian approach, a translation based method leveraging English only embedders with backward reference mapping, and a multilingual framework applied to both original and translated texts. Our methodology involves chunking documents into coherent segments, embedding them in a high dimensional semantic space, and measuring retrieval accuracy via top-k similarity searches. Our results indicate that the translation based approach significantly improves retrieval performance over Italian specific models, suggesting that bilingual mapping can effectively address both domain specific challenges and regulatory constraints in developing RAG pipelines for public administration.",https://doi.org/10.3233/FAIA250637,10.3233/FAIA250637,2025,Publication in conference,"ack ok, OA ok",TRUE,Gold,0,,,,"Chandana Sree Mala, Christian Di Maio, Mattia Proietti, Gizem Gezici, Fosca Giannotti, Stefano Melacci, Alessandro Lenci, Marco Gori",,"Frontiers in Artificial Intelligence and Applications, HHAI 2025",Volume 408 (FAIA),,196--204,,,"3,5"
102,123,MBG2025,TRUE,TRUE,Embracing Diversity: A Multi-Perspective Approach with Soft Labels,"In subjective tasks like stance detection, diverse human perspectives are often simplified into a single ground truth through label aggregation i.e. majority voting, potentially marginalizing minority viewpoints. This paper presents a Multi-Perspective framework for stance detection that explicitly incorporates annotation diversity by using soft labels derived from both human and large language model (LLM) annotations. Building on a stance detection dataset focused on controversial topics, we augment it with document summaries and new LLM-generated labels. We then compare two approaches: a baseline using aggregated hard labels, and a multi-perspective model trained on disaggregated soft labels that capture annotation distributions. Our findings show that multi-perspective models consistently outperform traditional baselines (higher F1-scores), with lower model confidence, reflecting task subjectivity. This work highlights the importance of modeling disagreement and promotes a shift toward more inclusive, perspective-aware NLP systems.",https://doi.org/10.3233/FAIA250654,10.3233/FAIA250654,2025,Publication in conference,"ack ok, OA ok",TRUE,Gold,0,,,,"Benedetta Muscato, Praveen Bushipaka, Gizem Gezici, Lucia Passaro, Fosca Giannotti, Tommaso Cucinotta",,"Frontiers in Artificial Intelligence and Applications, HHAI 2025",Volume 408 (FAIA),,370--384,,,"4,5"
103,124,AR2025,TRUE,FALSE,Counterfactual Situation Testing: From Single to Multidimensional Discrimination,"As machine learning models enable decisions once performed only by humans, it is central to develop tools that assess the fairness of such models. Notably, within high-stake settings like hiring and lending, these tools must be able to detect potentially discriminatory models. We present counterfactual situation testing (CST), a causal data mining framework for detecting individual discrimination in a dataset of classifier decisions. CST answers the question “what would have been the model outcome had the individual, or complainant, been of a different protected status?” It extends the legally-grounded situation testing (ST) of Thanh et al. (2011) by operationalizing the notion of fairness given the difference via counterfactual reasoning. ST finds for each complainant similar protected and non-protected instances in the dataset; constructs, respectively, a control and test group; and compares the groups such that a difference in model outcomes implies a potential case of individual discrimination. CST, instead, avoids this idealized comparison by establishing the test group on the complainant’s generated counterfactual, which reflects how the protected attribute when changed influences other seemingly neutral attributes of the complainant. Under CST we test for discrimination for each complainant by comparing similar individuals within the control and test group but dissimilar individuals across these groups. We consider single (e.g., gender) and multidimensional (e.g., gender and race) discrimination testing. For multidimensional discrimination we study multiple and intersectional discrimination and, as feared by legal scholars, find evidence that the former fails to account for the latter kind. Using a k-nearest neighbor implementation, we showcase CST on synthetic and real data. Experimental results show that CST uncovers a higher number of cases than ST, even when the model is counterfactually fair. CST, in fact, extends counterfactual fairness (CF) of Kusner et al. (2017) by equipping CF with confidence intervals, which we report for all experiments.",https://doi.org/10.1613/jair.1.17935,10.1613/jair.1.17935,2025,Article in journal,ack no,FALSE,Gold,0,,,,"Jose M. Alvarez, Salvatore Ruggieri",1076-9757,Journal of Artificial Intelligence Research,82,,2279--2323,,,1
104,125,CBR2025,TRUE,TRUE,A Practical Approach to Causal Inference over Time,"In this paper, we focus on estimating the causal effect of an intervention over time on a dynamical system.  
To that end, we formally define causal interventions and their effects over time on discrete-time stochastic processes (DSPs).  
Then, we show under which conditions the equilibrium states of a DSP, both before and after a causal intervention, can be captured by a structural causal model (SCM).  
With such an equivalence at hand, we provide an explicit mapping from vector autoregressive models (VARs), broadly applied in econometrics, to linear, but potentially cyclic and/or affected by unmeasured confounders, SCMs. The resulting causal VAR framework allows us to perform causal inference over time from observational time series data.   
Our experiments on synthetic and real-world datasets show that the proposed framework achieves strong performance in terms of observational forecasting while enabling accurate estimation of the causal effect of interventions on dynamical systems.  
We demonstrate, through a case study, the potential practical questions that can be addressed using the proposed causal VAR framework.",https://doi.org/10.1609/aaai.v39i14.33626,10.1609/aaai.v39i14.33626,2025,Article in journal,"ack ok, OA ok",TRUE,Gold,0,,,,"Martina Cinquini, Isacco Beretta, Salvatore Ruggieri, Isabel Valera","2374-3468, 2159-5399",Proceedings of the AAAI Conference on Artificial Intelligence,39,,14832--14839,,,2
105,130,CBG2025,TRUE,TRUE,Mathematical Foundation of Interpretable Equivariant Surrogate Models,"This paper introduces a rigorous mathematical framework for neural network explainability, and more broadly for the explainability of equivariant operators called Group Equivariant Operators (GEOs), based on Group Equivariant Non-Expansive Operators (GENEOs) transformations. The central concept involves quantifying the distance between GEOs by measuring the non-commutativity of specific diagrams. Additionally, the paper proposes a definition of interpretability of GEOs according to a complexity measure that can be defined according to each user’s preferences. Moreover, we explore the formal properties of this framework and show how it can be applied in classical machine learning scenarios, like image classification with convolutional neural networks. (SpringerLink)",https://doi.org/10.1007/978-3-032-08324-1_13,10.1007/978-3-032-08324-1_13,2025,Publication in conference,"ack ok, OA ok",TRUE,Gold,0,,,,"Jacopo Joy Colombini, Filippo Bonchi, Francesco Giannini, Fosca Giannotti, Roberto Pellungrini, Patrizio Frosini",,"Communications in Computer and Information Science, Explainable Artificial Intelligence",2185,"Istanbul, Turkey",,,,1
106,144,FGB2025,TRUE,TRUE,Categorical Explaining Functors: Ensuring Coherence in Logical Explanations,"The most common methods in explainable artificial intelligence are post-hoc techniques which identify the most relevant features used by pretrained opaque models. Some of the most advanced post-hoc methods can generate explanations that account for the mutual interactions of input features in the form of logic rules. However, these methods frequently fail to guarantee the consistency of the extracted explanations with the model’s underlying reasoning. To bridge this gap, we propose a theoretically grounded approach to ensure coherence and fidelity of the extracted explanations, moving beyond the limitations of current heuristic-based approaches. To this end, drawing from category theory, we introduce an explaining functor which structurally preserves logical entailment between the explanation and the opaque model’s reasoning. As a proof of concept, we validate the proposed theoretical constructions on a synthetic benchmark verifying how the proposed approach significantly mitigates the generation of contradictory or unfaithful explanations. (arXiv)",https://doi.org/10.24963/kr.2025/30,10.24963/kr.2025/30,2025,Publication in conference,"ack ok, OA ok",TRUE,Gold,0,,Proceedings of the TwentySecond International Conference on Principles of Knowledge Representation and Reasoning,International Joint Conferences on Artificial Intelligence Organization,"Stefano Fioravanti, Francesco Giannini, Pietro Barbiero, Paolo Frazzetto, Roberto Confalonieri, Fabio Zanasi, Nicolò Navarin",978-1-956792-08-9,Proceedings of the TwentySecond International Conference on Principles of Knowledge Representation and Reasoning,22nd International Conference (KR2025),California,306-315,,,"1,2"
107,149,BEF2024,TRUE,TRUE,Requirements of eXplainable AI in Algorithmic Hiring,AI models for ranking candidates to a job position are increasingly adopted. They bring a new layer of opaqueness in the way candidates are evaluated. We present preliminary research on stakeholder analysis and requirement elicitation for designing an explainability component in AI models for ranking candidates to a job position. (CEUR-WS),https://ceur-ws.org/Vol-3744/paper8.pdf,,2024,Publication in conference,"ack ok, OA ok",TRUE,Gold,0,,,,"A. Beretta, G. Ercoli, A. Ferraro, R. Guidotti, A. Iommi, A. Mastropietro, A. Monreale, D. Rotelli, S. Ruggieri",,"AIMMES 2024: AI bias – Measurements, Mitigation, Explanation Strategies (CEUR Workshop Proceedings, Vol. 3744)","CEUR Workshop Proceedings, Volume 3744",,,,,1
108,150,DGS2023,TRUE,TRUE,"Deterministic, quenched, and annealed parameter estimation for heterogeneous network models","At least two, different approaches to define and solve statistical models for the analysis of economic systems exist: the typical, econometric one, interpreting the Gravity Model specification as the expected link weight of an arbitrary probability distribution, and the one rooted into statistical physics, constructing maximum-entropy distributions constrained to satisfy certain network properties. In a couple of recent, companion papers they have been successfully integrated within the framework induced by the constrained minimisation of the Kullback-Leibler divergence: specifically, two, broad classes of models have been devised, i.e. the integrated and the conditional ones, defined by different, probabilistic rules to place links, load them with weights and turn them into proper, econometric prescriptions. Still, the recipes adopted by the two approaches to estimate the parameters entering into the definition of each model differ. In econometrics, a likelihood that decouples the binary and weighted parts of a model, treating a network as deterministic, is typically maximised; to restore its random character, two alternatives exist: either solving the likelihood maximisation on each configuration of the ensemble and taking the average of the parameters afterwards or taking the average of the likelihood function and maximising the latter one. The difference between these approaches lies in the order in which the operations of averaging and maximisation are taken — a difference that is reminiscent of the quenched and annealed ways of averaging out the disorder in spin glasses. The results of the present contribution, devoted to comparing these recipes in the case of continuous, conditional network models, indicate that the annealed estimation recipe represents the best alternative to the deterministic one. (ar5iv.labs.arxiv.org)",https://doi.org/10.1103/PhysRevE.108.054301,10.1103/PhysRevE.108.054301,2023,Article in Journal,"ack ok, OA ok",TRUE,Gold,0,,,APS,"M. Di Vece, D. Garlaschelli, T. Squartini",,Physical Review E,108,"Aachen, Germany",,,,1
109,151,GMR2022,TRUE,TRUE,Stable and actionable explanations of black-box models through factual and counterfactual rules,"Recent years have witnessed the rise of accurate but obscure classification models that hide the logic of their internal decision processes. Explaining the decision taken by a black-box classifier on a specific input instance is therefore of striking interest. We propose a local rule-based model-agnostic explanation method providing stable and actionable explanations. An explanation consists of a factual logic rule, stating the reasons for the black-box decision, and a set of actionable counterfactual logic rules, proactively suggesting the changes in the instance that lead to a different outcome. Explanations are computed from a decision tree that mimics the behavior of the black-box locally to the instance to explain. The decision tree is obtained through a bagging-like approach that favors stability and fidelity: first, an ensemble of decision trees is learned from neighborhoods of the instance under investigation; then, the ensemble is merged into a single decision tree. Neighbor instances are synthetically generated through a genetic algorithm whose fitness function is driven by the black-box behavior. Experiments show that the proposed method advances the state-of-the-art towards a comprehensive approach that successfully covers stability and actionability of factual and counterfactual explanations.",https://doi.org/10.1007/s10618-022-00878-5,10.1007/s10618-022-00878-5,2022,Article in Journal,"ack ok, OA ok",TRUE,Gold,0,,,,"Riccardo Guidotti, Anna Monreale, Salvatore Ruggieri, Francesca Naretto, Franco Turini, Dino Pedreschi, Fosca Giannotti",,Data Mining and Knowledge Discovery,38,,,,,"1,2"
110,154,LCM2025,TRUE,TRUE,Balancing Fairness and Interpretability in Clustering with FairParTree,"The revolution involving Machine Learning has transformed data analytics, making algorithms important in decision-making processes across various domains, even in sensitive scenarios. Indeed, traditional clustering algorithms often lack interpretability and exhibit biases, leading to discriminatory practices and opaque decision-making. To overcome these limitations, we introduce FairParTree, a fair and interpretable clustering algorithm that integrates fairness constraints directly into the clustering process, ensuring that the resulting clusters do not disproportionately disadvantage any particular group. By leveraging the structure of decision trees, FairParTree enhances the interpretability of clustering results by providing clear and understandable motivations for cluster assignments through rule-based explanations. We evaluate FairParTree against state-of-the-art competitors. Through extensive experiments, we show that it maintains strong performances w.r.t. fairness, interpretability, and clustering quality across different dataset sizes, thus positioning itself as a competitive, fair, and interpretable clustering algorithm.",https://doi.org/10.1007/978-3-032-08324-1_5,10.1007/978-3-032-08324-1_5,2025,Publication in conference,"ack ok, OA ok",TRUE,Gold,0,,,,"Cristiano Landi, Alessio Cascione, Marta Marchiori Manerba, Riccardo Guidotti",,"Communications in Computer and Information Science, Explainable Artificial Intelligence",2185,,,,,"1,5"
111,155,CPG2025,TRUE,TRUE,Unsupervised and Interpretable Detection of User Personalities in Online Social Networks,"Personalized moderation interventions in online social networks foster healthier interactions by adapting responses to both individual traits and contextual factors. However, implementing such interventions is challenging due to transparency concerns and the lack of ground-truth behavioral data from expert psychologists. Interpretability is crucial for addressing these challenges, as it enables platforms to tailor moderation strategies while ensuring fairness and user trust. In this paper, we present an unsupervised, data-driven framework to build an interpretable predictive model capable of distinguishing between toxic and non-toxic users with different personality traits. We leverage personality representations from an external resource to uncover behavioral profiles through clustering, utilizing embeddings of both toxic and non-toxic users. Then, we model users with features capturing linguistic and affective dimensions, training an interpretable personality detector capable of distinguishing between behavioral profiles in a transparent and explainable manner. A case study on Reddit demonstrates the effectiveness of our approach, highlighting how an interpretable model can achieve competitive performance comparable to a black-box alternative while offering meaningful insights into toxic and non-toxic users behavior.",https://doi.org/10.1007/978-3-032-08327-2_8,10.1007/978-3-032-08327-2_8,2025,Publication in conference,"ack ok, OA ok",TRUE,Gold,0,,,,"Alessio Cascione, Laura Pollacci, Riccardo Guidotti",,"Communications in Computer and Information Science, Explainable Artificial Intelligence",2186,,,,,1
112,156,PSW2025,TRUE,TRUE,MASCOTS: Model-Agnostic Symbolic COunterfactual Explanations for Time Series,"Counterfactual explanations provide an intuitive way to understand model decisions by identifying minimal changes required to alter an outcome. However, applying counterfactual methods to time series models remains challenging due to temporal dependencies, high dimensionality, and the lack of an intuitive human-interpretable representation. We introduce MASCOTS, a method that leverages the Bag-of-Receptive-Fields representation alongside symbolic transformations inspired by Symbolic Aggregate Approximation. By operating in a symbolic feature space, it enhances interpretability while preserving fidelity to the original data and model. Unlike existing approaches that either depend on model structure or autoencoder-based sampling, MASCOTS directly generates meaningful and diverse counterfactual observations in a model-agnostic manner, operating on both univariate and multivariate data. We evaluate MASCOTS on univariate and multivariate benchmark datasets, demonstrating comparable validity, proximity, and plausibility to state-of-the-art methods, while significantly improving interpretability and sparsity. Its symbolic nature allows for explanations that can be expressed visually, in natural language, or through semantic representations, making counterfactual reasoning more accessible and actionable.",https://doi.org/10.1007/978-3-032-06078-5_6,10.1007/978-3-032-06078-5_6,2025,Publication in conference,"ack ok, OA ok",TRUE,Gold,0,,,,"Dawid Płudowski, Francesco Spinnato, Piotr Wilczyński, Krzysztof Kotowski, Evridiki Vasileia Ntagiou, Riccardo Guidotti, Przemysław Biecek",,"Lecture Notes in Computer Science, Machine Learning and Knowledge Discovery in Databases. Research Track",15126,,,,,1
113,157,FCG2025,TRUE,TRUE,Interpretable Instance-Based Learning Through Pairwise Distance Trees,"Instance-based models offer natural interpretability by making decisions based on concrete examples. However, their transparency is often hindered by the use of complex similarity measures, which are difficult to interpret, especially in high-dimensional datasets. To address this issue, this paper presents a meta-learning framework that enhances the interpretability of instance-based models by replacing traditional, complex pairwise distance functions with interpretable pairwise distance trees. These trees are designed to prioritize simplicity and transparency while preserving the model’s effectiveness. By offering a clear decision-making process, the framework makes the instance selection more understandable. Also, the framework mitigates the computational burden of instance-based models, which typically require calculating all pairwise distances. Leveraging the generalization capabilities of pairwise distance trees and employing sampling strategies to select representative subsets, the method significantly reduces computational complexity. Our experiments demonstrate that the proposed approach improves computational efficiency with only a modest trade-off in accuracy while substantially enhancing the interpretability of the learned distance measure.",https://doi.org/10.1007/978-3-032-06078-5_1,10.1007/978-3-032-06078-5_1,2025,Publication in conference,"ack ok, OA ok",TRUE,Gold,0,,,,"Andrea Fedele, Alessio Cascione, Riccardo Guidotti, Cristiano Landi",,"Lecture Notes in Computer Science, Machine Learning and Knowledge Discovery in Databases. Research Track",15126,,,,,1
